username,role,email,password,type,title,report_date,item_name,amount,currency
user27,admin,user27@example.com,password123,finance,Report 27,2025-05-16,Item C,618,USD
user28,admin,user28@example.com,password123,finance,Report 28,2025-05-16,Item B,246,USD
user29,admin,user29@example.com,password123,inventory,Report 29,2025-05-16,Item A,776,USD
user30,user,user30@example.com,password123,finance,Report 30,2025-05-16,Item B,711,USD
user31,admin,user31@example.com,password123,sales,Report 31,2025-05-16,Item A,1069,USD
user32,admin,user32@example.com,password123,inventory,Report 32,2025-05-16,Item C,865,USD
user33,user,user33@example.com,password123,inventory,Report 33,2025-05-16,Item B,244,USD
user34,admin,user34@example.com,password123,sales,Report 34,2025-05-16,Item B,226,USD
user35,user,user35@example.com,password123,inventory,Report 35,2025-05-16,Item C,1017,USD
user36,admin,user36@example.com,password123,sales,Report 36,2025-05-16,Item A,429,USD
user37,admin,user37@example.com,password123,inventory,Report 37,2025-05-16,Item C,678,USD
user38,admin,user38@example.com,password123,finance,Report 38,2025-05-16,Item C,909,USD
user39,admin,user39@example.com,password123,finance,Report 39,2025-05-16,Item A,928,USD
user40,admin,user40@example.com,password123,sales,Report 40,2025-05-16,Item C,853,USD
user41,user,user41@example.com,password123,finance,Report 41,2025-05-16,Item C,156,USD
user42,admin,user42@example.com,password123,sales,Report 42,2025-05-16,Item A,977,USD
user43,admin,user43@example.com,password123,sales,Report 43,2025-05-16,Item C,635,USD
user44,user,user44@example.com,password123,sales,Report 44,2025-05-16,Item B,537,USD
user45,user,user45@example.com,password123,sales,Report 45,2025-05-16,Item C,391,USD
user46,user,user46@example.com,password123,inventory,Report 46,2025-05-16,Item C,258,USD
user47,user,user47@example.com,password123,sales,Report 47,2025-05-16,Item C,1079,USD
user48,admin,user48@example.com,password123,inventory,Report 48,2025-05-16,Item B,121,USD
user49,admin,user49@example.com,password123,inventory,Report 49,2025-05-16,Item B,1026,USD
user50,user,user50@example.com,password123,sales,Report 50,2025-05-16,Item C,166,USD
user51,admin,user51@example.com,password123,sales,Report 51,2025-05-16,Item B,488,USD
user52,admin,user52@example.com,password123,inventory,Report 52,2025-05-16,Item C,269,USD
user53,user,user53@example.com,password123,sales,Report 53,2025-05-16,Item C,776,USD
user54,admin,user54@example.com,password123,finance,Report 54,2025-05-16,Item B,787,USD
user55,admin,user55@example.com,password123,finance,Report 55,2025-05-16,Item B,290,USD
user56,admin,user56@example.com,password123,sales,Report 56,2025-05-16,Item B,169,USD
user57,admin,user57@example.com,password123,inventory,Report 57,2025-05-16,Item A,1067,USD
user58,admin,user58@example.com,password123,sales,Report 58,2025-05-16,Item B,154,USD
user59,user,user59@example.com,password123,sales,Report 59,2025-05-16,Item A,658,USD
user60,admin,user60@example.com,password123,inventory,Report 60,2025-05-16,Item B,923,USD
user61,user,user61@example.com,password123,inventory,Report 61,2025-05-16,Item A,613,USD
user62,user,user62@example.com,password123,finance,Report 62,2025-05-16,Item A,603,USD
user63,user,user63@example.com,password123,finance,Report 63,2025-05-16,Item C,718,USD
user64,admin,user64@example.com,password123,sales,Report 64,2025-05-16,Item A,774,USD
user65,admin,user65@example.com,password123,inventory,Report 65,2025-05-16,Item A,1044,USD
user66,user,user66@example.com,password123,finance,Report 66,2025-05-16,Item B,1064,USD
user67,user,user67@example.com,password123,inventory,Report 67,2025-05-16,Item A,956,USD
user68,admin,user68@example.com,password123,inventory,Report 68,2025-05-16,Item A,1059,USD
user69,admin,user69@example.com,password123,sales,Report 69,2025-05-16,Item A,1093,USD
user70,admin,user70@example.com,password123,sales,Report 70,2025-05-16,Item B,175,USD
user71,user,user71@example.com,password123,sales,Report 71,2025-05-16,Item B,984,USD
user72,admin,user72@example.com,password123,sales,Report 72,2025-05-16,Item A,587,USD
user73,user,user73@example.com,password123,sales,Report 73,2025-05-16,Item B,1054,USD
user74,admin,user74@example.com,password123,inventory,Report 74,2025-05-16,Item B,328,USD
user75,admin,user75@example.com,password123,sales,Report 75,2025-05-16,Item C,872,USD
user76,admin,user76@example.com,password123,inventory,Report 76,2025-05-16,Item A,558,USD
user77,user,user77@example.com,password123,inventory,Report 77,2025-05-16,Item A,973,USD
user78,user,user78@example.com,password123,finance,Report 78,2025-05-16,Item C,866,USD
user79,admin,user79@example.com,password123,finance,Report 79,2025-05-16,Item B,744,USD
user80,admin,user80@example.com,password123,inventory,Report 80,2025-05-16,Item B,913,USD
user81,admin,user81@example.com,password123,inventory,Report 81,2025-05-16,Item C,355,USD
user82,user,user82@example.com,password123,sales,Report 82,2025-05-16,Item C,847,USD
user83,admin,user83@example.com,password123,inventory,Report 83,2025-05-16,Item A,176,USD
user84,user,user84@example.com,password123,sales,Report 84,2025-05-16,Item C,819,USD
user85,user,user85@example.com,password123,finance,Report 85,2025-05-16,Item C,176,USD
user86,admin,user86@example.com,password123,sales,Report 86,2025-05-16,Item B,324,USD
user87,admin,user87@example.com,password123,sales,Report 87,2025-05-16,Item C,1066,USD
user88,user,user88@example.com,password123,inventory,Report 88,2025-05-16,Item A,494,USD
user89,user,user89@example.com,password123,inventory,Report 89,2025-05-16,Item A,239,USD
user90,admin,user90@example.com,password123,finance,Report 90,2025-05-16,Item C,393,USD
user91,admin,user91@example.com,password123,inventory,Report 91,2025-05-16,Item C,711,USD
user92,user,user92@example.com,password123,sales,Report 92,2025-05-16,Item A,527,USD
user93,user,user93@example.com,password123,sales,Report 93,2025-05-16,Item B,353,USD
user94,user,user94@example.com,password123,sales,Report 94,2025-05-16,Item A,579,USD
user95,user,user95@example.com,password123,sales,Report 95,2025-05-16,Item A,512,USD
user96,user,user96@example.com,password123,inventory,Report 96,2025-05-16,Item C,676,USD
user97,user,user97@example.com,password123,inventory,Report 97,2025-05-16,Item C,828,USD
user98,user,user98@example.com,password123,sales,Report 98,2025-05-16,Item A,219,USD
user99,admin,user99@example.com,password123,inventory,Report 99,2025-05-16,Item A,190,USD
user100,user,user100@example.com,password123,finance,Report 100,2025-05-16,Item A,215,USD
user101,admin,user101@example.com,password123,finance,Report 101,2025-05-16,Item A,720,USD
user102,user,user102@example.com,password123,inventory,Report 102,2025-05-16,Item C,664,USD
user103,user,user103@example.com,password123,sales,Report 103,2025-05-16,Item B,578,USD
user104,user,user104@example.com,password123,sales,Report 104,2025-05-16,Item B,484,USD
user105,admin,user105@example.com,password123,sales,Report 105,2025-05-16,Item C,146,USD
user106,user,user106@example.com,password123,finance,Report 106,2025-05-16,Item A,619,USD
user107,user,user107@example.com,password123,sales,Report 107,2025-05-16,Item B,222,USD
user108,user,user108@example.com,password123,inventory,Report 108,2025-05-16,Item B,989,USD
user109,admin,user109@example.com,password123,inventory,Report 109,2025-05-16,Item C,559,USD
user110,admin,user110@example.com,password123,finance,Report 110,2025-05-16,Item A,564,USD
user111,user,user111@example.com,password123,inventory,Report 111,2025-05-16,Item C,913,USD
user112,admin,user112@example.com,password123,inventory,Report 112,2025-05-16,Item A,548,USD
user113,admin,user113@example.com,password123,inventory,Report 113,2025-05-16,Item A,352,USD
user114,admin,user114@example.com,password123,inventory,Report 114,2025-05-16,Item C,1084,USD
user115,admin,user115@example.com,password123,sales,Report 115,2025-05-16,Item C,231,USD
user116,user,user116@example.com,password123,inventory,Report 116,2025-05-16,Item C,325,USD
user117,admin,user117@example.com,password123,finance,Report 117,2025-05-16,Item C,786,USD
user118,admin,user118@example.com,password123,inventory,Report 118,2025-05-16,Item A,943,USD
user119,admin,user119@example.com,password123,sales,Report 119,2025-05-16,Item B,939,USD
user120,admin,user120@example.com,password123,sales,Report 120,2025-05-16,Item A,166,USD
user121,admin,user121@example.com,password123,finance,Report 121,2025-05-16,Item B,602,USD
user122,admin,user122@example.com,password123,sales,Report 122,2025-05-16,Item A,358,USD
user123,admin,user123@example.com,password123,sales,Report 123,2025-05-16,Item B,1026,USD
user124,admin,user124@example.com,password123,finance,Report 124,2025-05-16,Item A,489,USD
user125,admin,user125@example.com,password123,inventory,Report 125,2025-05-16,Item B,771,USD
user126,admin,user126@example.com,password123,sales,Report 126,2025-05-16,Item A,802,USD
user127,user,user127@example.com,password123,finance,Report 127,2025-05-16,Item B,607,USD
user128,user,user128@example.com,password123,finance,Report 128,2025-05-16,Item B,133,USD
user129,user,user129@example.com,password123,inventory,Report 129,2025-05-16,Item B,300,USD
user130,user,user130@example.com,password123,finance,Report 130,2025-05-16,Item B,730,USD
user131,user,user131@example.com,password123,finance,Report 131,2025-05-16,Item C,334,USD
user132,admin,user132@example.com,password123,sales,Report 132,2025-05-16,Item B,604,USD
user133,user,user133@example.com,password123,finance,Report 133,2025-05-16,Item B,581,USD
user134,admin,user134@example.com,password123,finance,Report 134,2025-05-16,Item A,574,USD
user135,user,user135@example.com,password123,sales,Report 135,2025-05-16,Item A,712,USD
user136,user,user136@example.com,password123,inventory,Report 136,2025-05-16,Item C,859,USD
user137,user,user137@example.com,password123,inventory,Report 137,2025-05-16,Item C,104,USD
user138,user,user138@example.com,password123,sales,Report 138,2025-05-16,Item C,549,USD
user139,user,user139@example.com,password123,sales,Report 139,2025-05-16,Item A,552,USD
user140,admin,user140@example.com,password123,inventory,Report 140,2025-05-16,Item B,930,USD
user141,user,user141@example.com,password123,finance,Report 141,2025-05-16,Item A,107,USD
user142,admin,user142@example.com,password123,finance,Report 142,2025-05-16,Item A,490,USD
user143,admin,user143@example.com,password123,sales,Report 143,2025-05-16,Item C,891,USD
user144,user,user144@example.com,password123,inventory,Report 144,2025-05-16,Item A,1090,USD
user145,admin,user145@example.com,password123,inventory,Report 145,2025-05-16,Item B,616,USD
user146,admin,user146@example.com,password123,inventory,Report 146,2025-05-16,Item A,677,USD
user147,admin,user147@example.com,password123,finance,Report 147,2025-05-16,Item B,817,USD
user148,admin,user148@example.com,password123,inventory,Report 148,2025-05-16,Item C,920,USD
user149,admin,user149@example.com,password123,sales,Report 149,2025-05-16,Item B,760,USD
user150,admin,user150@example.com,password123,sales,Report 150,2025-05-16,Item C,717,USD
user151,user,user151@example.com,password123,finance,Report 151,2025-05-16,Item A,808,USD
user152,user,user152@example.com,password123,inventory,Report 152,2025-05-16,Item A,989,USD
user153,admin,user153@example.com,password123,sales,Report 153,2025-05-16,Item A,1043,USD
user154,user,user154@example.com,password123,finance,Report 154,2025-05-16,Item B,420,USD
user155,admin,user155@example.com,password123,sales,Report 155,2025-05-16,Item C,1097,USD
user156,admin,user156@example.com,password123,sales,Report 156,2025-05-16,Item A,423,USD
user157,admin,user157@example.com,password123,sales,Report 157,2025-05-16,Item C,760,USD
user158,admin,user158@example.com,password123,inventory,Report 158,2025-05-16,Item C,944,USD
user159,admin,user159@example.com,password123,sales,Report 159,2025-05-16,Item C,588,USD
user160,admin,user160@example.com,password123,finance,Report 160,2025-05-16,Item B,607,USD
user161,admin,user161@example.com,password123,finance,Report 161,2025-05-16,Item C,741,USD
user162,user,user162@example.com,password123,inventory,Report 162,2025-05-16,Item C,606,USD
user163,admin,user163@example.com,password123,sales,Report 163,2025-05-16,Item B,817,USD
user164,user,user164@example.com,password123,inventory,Report 164,2025-05-16,Item B,994,USD
user165,user,user165@example.com,password123,finance,Report 165,2025-05-16,Item C,374,USD
user166,user,user166@example.com,password123,inventory,Report 166,2025-05-16,Item C,795,USD
user167,user,user167@example.com,password123,sales,Report 167,2025-05-16,Item B,696,USD
user168,user,user168@example.com,password123,sales,Report 168,2025-05-16,Item A,400,USD
user169,admin,user169@example.com,password123,inventory,Report 169,2025-05-16,Item B,127,USD
user170,user,user170@example.com,password123,sales,Report 170,2025-05-16,Item B,507,USD
user171,admin,user171@example.com,password123,finance,Report 171,2025-05-16,Item A,283,USD
user172,admin,user172@example.com,password123,inventory,Report 172,2025-05-16,Item C,228,USD
user173,admin,user173@example.com,password123,sales,Report 173,2025-05-16,Item A,1059,USD
user174,user,user174@example.com,password123,sales,Report 174,2025-05-16,Item B,1093,USD
user175,user,user175@example.com,password123,sales,Report 175,2025-05-16,Item B,1004,USD
user176,admin,user176@example.com,password123,finance,Report 176,2025-05-16,Item B,664,USD
user177,user,user177@example.com,password123,finance,Report 177,2025-05-16,Item A,923,USD
user178,admin,user178@example.com,password123,inventory,Report 178,2025-05-16,Item A,1084,USD
user179,admin,user179@example.com,password123,finance,Report 179,2025-05-16,Item B,872,USD
user180,admin,user180@example.com,password123,sales,Report 180,2025-05-16,Item A,673,USD
user181,admin,user181@example.com,password123,inventory,Report 181,2025-05-16,Item C,1090,USD
user182,user,user182@example.com,password123,sales,Report 182,2025-05-16,Item B,385,USD
user183,admin,user183@example.com,password123,inventory,Report 183,2025-05-16,Item B,911,USD
user184,admin,user184@example.com,password123,finance,Report 184,2025-05-16,Item A,565,USD
user185,user,user185@example.com,password123,inventory,Report 185,2025-05-16,Item B,606,USD
user186,admin,user186@example.com,password123,sales,Report 186,2025-05-16,Item A,351,USD
user187,admin,user187@example.com,password123,sales,Report 187,2025-05-16,Item B,214,USD
user188,user,user188@example.com,password123,inventory,Report 188,2025-05-16,Item B,702,USD
user189,admin,user189@example.com,password123,sales,Report 189,2025-05-16,Item A,943,USD
user190,admin,user190@example.com,password123,finance,Report 190,2025-05-16,Item A,867,USD
user191,admin,user191@example.com,password123,finance,Report 191,2025-05-16,Item C,1080,USD
user192,user,user192@example.com,password123,finance,Report 192,2025-05-16,Item C,316,USD
user193,admin,user193@example.com,password123,sales,Report 193,2025-05-16,Item B,531,USD
user194,user,user194@example.com,password123,finance,Report 194,2025-05-16,Item B,1059,USD
user195,user,user195@example.com,password123,finance,Report 195,2025-05-16,Item B,753,USD
user196,admin,user196@example.com,password123,inventory,Report 196,2025-05-16,Item A,675,USD
user197,user,user197@example.com,password123,inventory,Report 197,2025-05-16,Item C,834,USD
user198,admin,user198@example.com,password123,finance,Report 198,2025-05-16,Item A,1026,USD
user199,admin,user199@example.com,password123,sales,Report 199,2025-05-16,Item C,430,USD
user200,admin,user200@example.com,password123,sales,Report 200,2025-05-16,Item A,609,USD
user201,user,user201@example.com,password123,sales,Report 201,2025-05-16,Item B,438,USD
user202,admin,user202@example.com,password123,inventory,Report 202,2025-05-16,Item B,604,USD
user203,user,user203@example.com,password123,inventory,Report 203,2025-05-16,Item A,921,USD
user204,admin,user204@example.com,password123,sales,Report 204,2025-05-16,Item C,211,USD
user205,user,user205@example.com,password123,finance,Report 205,2025-05-16,Item C,105,USD
user206,admin,user206@example.com,password123,inventory,Report 206,2025-05-16,Item B,200,USD
user207,user,user207@example.com,password123,finance,Report 207,2025-05-16,Item C,943,USD
user208,admin,user208@example.com,password123,sales,Report 208,2025-05-16,Item A,971,USD
user209,admin,user209@example.com,password123,sales,Report 209,2025-05-16,Item A,245,USD
user210,admin,user210@example.com,password123,inventory,Report 210,2025-05-16,Item A,809,USD
user211,admin,user211@example.com,password123,sales,Report 211,2025-05-16,Item C,598,USD
user212,admin,user212@example.com,password123,sales,Report 212,2025-05-16,Item A,849,USD
user213,user,user213@example.com,password123,finance,Report 213,2025-05-16,Item B,1081,USD
user214,admin,user214@example.com,password123,inventory,Report 214,2025-05-16,Item B,453,USD
user215,user,user215@example.com,password123,sales,Report 215,2025-05-16,Item B,880,USD
user216,user,user216@example.com,password123,sales,Report 216,2025-05-16,Item B,438,USD
user217,user,user217@example.com,password123,sales,Report 217,2025-05-16,Item B,657,USD
user218,admin,user218@example.com,password123,sales,Report 218,2025-05-16,Item A,624,USD
user219,admin,user219@example.com,password123,sales,Report 219,2025-05-16,Item C,500,USD
user220,admin,user220@example.com,password123,inventory,Report 220,2025-05-16,Item C,1082,USD
user221,user,user221@example.com,password123,finance,Report 221,2025-05-16,Item C,1086,USD
user222,admin,user222@example.com,password123,inventory,Report 222,2025-05-16,Item A,766,USD
user223,admin,user223@example.com,password123,sales,Report 223,2025-05-16,Item C,251,USD
user224,admin,user224@example.com,password123,finance,Report 224,2025-05-16,Item B,567,USD
user225,admin,user225@example.com,password123,sales,Report 225,2025-05-16,Item A,936,USD
user226,user,user226@example.com,password123,inventory,Report 226,2025-05-16,Item A,255,USD
user227,user,user227@example.com,password123,inventory,Report 227,2025-05-16,Item A,525,USD
user228,admin,user228@example.com,password123,finance,Report 228,2025-05-16,Item B,754,USD
user229,admin,user229@example.com,password123,sales,Report 229,2025-05-16,Item A,1038,USD
user230,admin,user230@example.com,password123,inventory,Report 230,2025-05-16,Item B,974,USD
user231,admin,user231@example.com,password123,sales,Report 231,2025-05-16,Item B,780,USD
user232,user,user232@example.com,password123,finance,Report 232,2025-05-16,Item C,381,USD
user233,admin,user233@example.com,password123,finance,Report 233,2025-05-16,Item C,116,USD
user234,admin,user234@example.com,password123,finance,Report 234,2025-05-16,Item C,873,USD
user235,user,user235@example.com,password123,finance,Report 235,2025-05-16,Item A,156,USD
user236,user,user236@example.com,password123,sales,Report 236,2025-05-16,Item B,584,USD
user237,admin,user237@example.com,password123,inventory,Report 237,2025-05-16,Item C,175,USD
user238,user,user238@example.com,password123,finance,Report 238,2025-05-16,Item B,792,USD
user239,user,user239@example.com,password123,finance,Report 239,2025-05-16,Item B,509,USD
user240,user,user240@example.com,password123,finance,Report 240,2025-05-16,Item B,424,USD
user241,admin,user241@example.com,password123,sales,Report 241,2025-05-16,Item C,804,USD
user242,admin,user242@example.com,password123,inventory,Report 242,2025-05-16,Item B,858,USD
user243,admin,user243@example.com,password123,sales,Report 243,2025-05-16,Item B,262,USD
user244,admin,user244@example.com,password123,finance,Report 244,2025-05-16,Item C,320,USD
user245,user,user245@example.com,password123,inventory,Report 245,2025-05-16,Item B,692,USD
user246,user,user246@example.com,password123,finance,Report 246,2025-05-16,Item A,332,USD
user247,user,user247@example.com,password123,sales,Report 247,2025-05-16,Item B,669,USD
user248,admin,user248@example.com,password123,sales,Report 248,2025-05-16,Item C,287,USD
user249,admin,user249@example.com,password123,sales,Report 249,2025-05-16,Item A,416,USD
user250,admin,user250@example.com,password123,sales,Report 250,2025-05-16,Item B,314,USD
user251,admin,user251@example.com,password123,inventory,Report 251,2025-05-16,Item A,870,USD
user252,admin,user252@example.com,password123,inventory,Report 252,2025-05-16,Item B,297,USD
user253,admin,user253@example.com,password123,sales,Report 253,2025-05-16,Item B,347,USD
user254,admin,user254@example.com,password123,sales,Report 254,2025-05-16,Item C,571,USD
user255,user,user255@example.com,password123,finance,Report 255,2025-05-16,Item A,485,USD
user256,admin,user256@example.com,password123,finance,Report 256,2025-05-16,Item C,956,USD
user257,admin,user257@example.com,password123,inventory,Report 257,2025-05-16,Item C,278,USD
user258,admin,user258@example.com,password123,finance,Report 258,2025-05-16,Item C,1005,USD
user259,user,user259@example.com,password123,finance,Report 259,2025-05-16,Item A,604,USD
user260,admin,user260@example.com,password123,finance,Report 260,2025-05-16,Item B,144,USD
user261,admin,user261@example.com,password123,finance,Report 261,2025-05-16,Item A,455,USD
user262,admin,user262@example.com,password123,finance,Report 262,2025-05-16,Item B,644,USD
user263,user,user263@example.com,password123,sales,Report 263,2025-05-16,Item A,340,USD
user264,user,user264@example.com,password123,finance,Report 264,2025-05-16,Item B,862,USD
user265,user,user265@example.com,password123,inventory,Report 265,2025-05-16,Item B,601,USD
user266,admin,user266@example.com,password123,sales,Report 266,2025-05-16,Item C,348,USD
user267,user,user267@example.com,password123,sales,Report 267,2025-05-16,Item C,432,USD
user268,admin,user268@example.com,password123,inventory,Report 268,2025-05-16,Item A,961,USD
user269,admin,user269@example.com,password123,finance,Report 269,2025-05-16,Item B,715,USD
user270,user,user270@example.com,password123,finance,Report 270,2025-05-16,Item B,1059,USD
user271,user,user271@example.com,password123,sales,Report 271,2025-05-16,Item B,571,USD
user272,user,user272@example.com,password123,sales,Report 272,2025-05-16,Item A,883,USD
user273,user,user273@example.com,password123,sales,Report 273,2025-05-16,Item C,675,USD
user274,user,user274@example.com,password123,finance,Report 274,2025-05-16,Item A,907,USD
user275,admin,user275@example.com,password123,inventory,Report 275,2025-05-16,Item B,1006,USD
user276,admin,user276@example.com,password123,sales,Report 276,2025-05-16,Item C,368,USD
user277,user,user277@example.com,password123,inventory,Report 277,2025-05-16,Item B,882,USD
user278,admin,user278@example.com,password123,finance,Report 278,2025-05-16,Item B,546,USD
user279,admin,user279@example.com,password123,sales,Report 279,2025-05-16,Item B,803,USD
user280,user,user280@example.com,password123,sales,Report 280,2025-05-16,Item A,521,USD
user281,admin,user281@example.com,password123,sales,Report 281,2025-05-16,Item C,343,USD
user282,user,user282@example.com,password123,inventory,Report 282,2025-05-16,Item A,627,USD
user283,user,user283@example.com,password123,sales,Report 283,2025-05-16,Item C,300,USD
user284,user,user284@example.com,password123,finance,Report 284,2025-05-16,Item C,910,USD
user285,user,user285@example.com,password123,finance,Report 285,2025-05-16,Item A,879,USD
user286,user,user286@example.com,password123,sales,Report 286,2025-05-16,Item A,564,USD
user287,user,user287@example.com,password123,inventory,Report 287,2025-05-16,Item C,524,USD
user288,user,user288@example.com,password123,finance,Report 288,2025-05-16,Item A,331,USD
user289,admin,user289@example.com,password123,inventory,Report 289,2025-05-16,Item B,752,USD
user290,user,user290@example.com,password123,finance,Report 290,2025-05-16,Item B,909,USD
user291,user,user291@example.com,password123,inventory,Report 291,2025-05-16,Item A,536,USD
user292,admin,user292@example.com,password123,finance,Report 292,2025-05-16,Item C,926,USD
user293,user,user293@example.com,password123,sales,Report 293,2025-05-16,Item B,289,USD
user294,admin,user294@example.com,password123,finance,Report 294,2025-05-16,Item C,597,USD
user295,user,user295@example.com,password123,finance,Report 295,2025-05-16,Item C,540,USD
user296,admin,user296@example.com,password123,inventory,Report 296,2025-05-16,Item B,476,USD
user297,user,user297@example.com,password123,sales,Report 297,2025-05-16,Item C,580,USD
user298,user,user298@example.com,password123,finance,Report 298,2025-05-16,Item A,416,USD
user299,admin,user299@example.com,password123,finance,Report 299,2025-05-16,Item A,273,USD
user300,user,user300@example.com,password123,inventory,Report 300,2025-05-16,Item C,917,USD
user301,admin,user301@example.com,password123,inventory,Report 301,2025-05-16,Item B,103,USD
user302,admin,user302@example.com,password123,inventory,Report 302,2025-05-16,Item A,172,USD
user303,user,user303@example.com,password123,finance,Report 303,2025-05-16,Item A,658,USD
user304,user,user304@example.com,password123,finance,Report 304,2025-05-16,Item B,812,USD
user305,user,user305@example.com,password123,inventory,Report 305,2025-05-16,Item C,1006,USD
user306,user,user306@example.com,password123,sales,Report 306,2025-05-16,Item B,433,USD
user307,admin,user307@example.com,password123,sales,Report 307,2025-05-16,Item A,111,USD
user308,admin,user308@example.com,password123,sales,Report 308,2025-05-16,Item A,1019,USD
user309,admin,user309@example.com,password123,finance,Report 309,2025-05-16,Item C,703,USD
user310,admin,user310@example.com,password123,finance,Report 310,2025-05-16,Item A,641,USD
user311,admin,user311@example.com,password123,finance,Report 311,2025-05-16,Item C,712,USD
user312,admin,user312@example.com,password123,inventory,Report 312,2025-05-16,Item A,586,USD
user313,admin,user313@example.com,password123,sales,Report 313,2025-05-16,Item C,186,USD
user314,admin,user314@example.com,password123,sales,Report 314,2025-05-16,Item A,356,USD
user315,user,user315@example.com,password123,inventory,Report 315,2025-05-16,Item B,312,USD
user316,user,user316@example.com,password123,finance,Report 316,2025-05-16,Item A,1081,USD
user317,user,user317@example.com,password123,inventory,Report 317,2025-05-16,Item B,217,USD
user318,admin,user318@example.com,password123,inventory,Report 318,2025-05-16,Item C,229,USD
user319,admin,user319@example.com,password123,finance,Report 319,2025-05-16,Item B,912,USD
user320,user,user320@example.com,password123,inventory,Report 320,2025-05-16,Item B,563,USD
user321,admin,user321@example.com,password123,inventory,Report 321,2025-05-16,Item C,568,USD
user322,admin,user322@example.com,password123,finance,Report 322,2025-05-16,Item B,775,USD
user323,admin,user323@example.com,password123,finance,Report 323,2025-05-16,Item C,201,USD
user324,admin,user324@example.com,password123,sales,Report 324,2025-05-16,Item A,893,USD
user325,user,user325@example.com,password123,sales,Report 325,2025-05-16,Item C,371,USD
user326,admin,user326@example.com,password123,sales,Report 326,2025-05-16,Item B,630,USD
user327,admin,user327@example.com,password123,sales,Report 327,2025-05-16,Item B,740,USD
user328,admin,user328@example.com,password123,sales,Report 328,2025-05-16,Item C,918,USD
user329,user,user329@example.com,password123,inventory,Report 329,2025-05-16,Item A,526,USD
user330,admin,user330@example.com,password123,finance,Report 330,2025-05-16,Item C,935,USD
user331,admin,user331@example.com,password123,inventory,Report 331,2025-05-16,Item B,586,USD
user332,admin,user332@example.com,password123,sales,Report 332,2025-05-16,Item C,186,USD
user333,user,user333@example.com,password123,finance,Report 333,2025-05-16,Item C,228,USD
user334,admin,user334@example.com,password123,sales,Report 334,2025-05-16,Item A,296,USD
user335,user,user335@example.com,password123,inventory,Report 335,2025-05-16,Item B,402,USD
user336,admin,user336@example.com,password123,finance,Report 336,2025-05-16,Item B,347,USD
user337,admin,user337@example.com,password123,inventory,Report 337,2025-05-16,Item C,659,USD
user338,user,user338@example.com,password123,sales,Report 338,2025-05-16,Item A,275,USD
user339,user,user339@example.com,password123,sales,Report 339,2025-05-16,Item C,956,USD
user340,admin,user340@example.com,password123,sales,Report 340,2025-05-16,Item B,995,USD
user341,user,user341@example.com,password123,sales,Report 341,2025-05-16,Item A,897,USD
user342,admin,user342@example.com,password123,sales,Report 342,2025-05-16,Item B,618,USD
user343,admin,user343@example.com,password123,sales,Report 343,2025-05-16,Item B,257,USD
user344,user,user344@example.com,password123,finance,Report 344,2025-05-16,Item A,346,USD
user345,user,user345@example.com,password123,sales,Report 345,2025-05-16,Item A,561,USD
user346,user,user346@example.com,password123,finance,Report 346,2025-05-16,Item A,804,USD
user347,admin,user347@example.com,password123,inventory,Report 347,2025-05-16,Item A,929,USD
user348,admin,user348@example.com,password123,sales,Report 348,2025-05-16,Item B,156,USD
